week	lakes	gr	po	tqg	time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	dm1	dm2	dm3	dm4
1	0	.4	1	13632	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	.4	1	20035	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	.4	1	16319	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	.4	1	12603	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	.4	1	23079	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	.4	1	19652	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	.4	1	16211	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	.4	1	22914	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	.4	1	23710	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	.35	1	23036	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	.35	1	38414	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	.35	1	46906	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	.35	1	58608	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14	0	.35	1	51225	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15	1	.35	1	37339	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16	1	.3	1	20298	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17	1	.3	1	13699	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18	1	.3	1	11944	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19	1	.3	1	10658	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
20	1	.3	1	9756	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21	1	.3	1	9546	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
22	1	.3	1	16713	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
23	1	.3	1	16389	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24	1	.3	1	23179	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
25	1	.3	1	34999	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
26	1	.3	1	35267	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
27	1	.3	1	20402	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
28	1	.3	1	21020	28	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
29	1	.3	1	16612	29	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
30	1	.3	1	14834	30	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
31	1	.3	1	11149	31	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
32	1	.3	1	16035	32	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
33	1	.3	1	18555	33	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
34	1	.3	1	17413	34	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
